jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
NA,NA,NA,NA,NA,NA,6.272892857,2.293935484,-6.620266667,-12.9936129,-22.80833333,-32.09
-37.67709677,-35.23642857,-34.82096774,-23.092,-11.37048387,1.496344828,7.109777778,3.058193548,-7.130266667,-18.95387097,-24.24866667,-27.01032258
-29.35419355,-33.19928571,-30.68322581,-18.90366667,-4.870806452,5.246266667,6.229225806,4.519935484,-5.374233333,-21.08645161,-28.91933333,-28.51548387
-30.96,-29.13892857,-28.01096774,-22.847,-6.607,3.8974,7.016451613,3.406322581,-5.677366667,-17.22483871,-21.561,-30.96741935
-33.77967742,-32.66931034,-30.03032258,-23.44433333,-10.256,2.0743,4.93816129,2.65483871,-5.536666667,-14.35483871,-25.66666667,-27.42580645
-31.67419355,-29.5,-32.18064516,-18.71666667,-5.874193548,3.682533333,7.210580645,2.791645161,-6.363433333,-14.78412903,-29.102,-30.6683871
-25.37741935,-26.13821429,-31.63322581,-20.511,-5.359774194,4.272166667,6.034548387,4.14416129,-5.092366667,-17.64741935,-23.77366667,-31.57483871
-31.50096774,-32.15107143,-32.08225806,-14.26093333,-5.039806452,4.2659,6.399129032,4.336677419,-4.172566667,-16.32870968,-18.56173333,-29.15451613
-28.98774194,-28.63413793,-29.56935484,-18.292,-6.921677419,1.4342,6.667903226,0.909903226,-6.516633333,-17.27870968,-20.18233333,-22.04451613
-30.86354839,-31.305,-27.80483871,-19.57666667,-5.505580645,4.5499,5.691,1.436451613,-8.535033333,-18.06387097,-22.89333333,-27.33935484
-27.45806452,-32.09535714,-29.51903226,-18.599,-7.204064516,5.200466667,7.450419355,3.233645161,-3.260833333,-15.1426129,-19.02933333,-24.3583871
-30.72903226,-33.22142857,-30.24774194,-22.6,-9.293967742,3.0389,7.767709677,3.777290323,-6.323866667,-19.83419355,-24.52566667,-33.99
-31.76806452,-32.00758621,-29.81,-19.974,-9.271451613,4.692366667,7.738903226,2.570870968,-6.378333333,-16.16548387,-22.54366667,-25.55870968
-29.90064516,-33.10642857,-31.27935484,-22.80933333,-7.955322581,4.1115,7.364451613,3.726516129,-5.7,-17.49129032,-23.544,-23.93290323
-30.63354839,-37.40821429,-31.93322581,-26.14233333,-7.164741935,4.5129,5.54516129,3.212193548,-3.481533333,-13.17951613,-23.45433333,-22.22096774
-25.3116129,-30.59392857,-30.69806452,-23.16066667,-6.955612903,4.092166667,7.552806452,3.377096774,-3.820866667,-13.88432258,-23.01833333,-23.38903226
-27.66709677,-30.69551724,-32.26483871,-20.76933333,-6.14816129,3.379233333,4.439483871,3.205129032,-5.414266667,-11.29880645,-23.78866667,-29.81193548
-30.4016129,-25.53,-27.40870968,-22.92,-6.135741935,3.880204518,5.408688865,4.724580645,-4.526633333,-14.97774194,-22.41166667,-26.13225806
-29.77258065,-31.78107143,-28.69129032,-20.271,-4.378193548,2.8667,6.623645161,4.852935484,-2.907666667,-11.33612903,-23.76933333,-28.90967742
-27.6,-25.45607143,-30.22645161,-15.7473,-6.791709677,4.4301,7.770870968,5.654,NA,NA,NA,NA
NA,NA,NA,NA,NA,7.9224,6.938225806,5.497882353,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,9.6628125,NA,NA,NA,NA,NA
-29.76142857,-22.28035714,-24.52483871,-15.53966667,-3.908225806,5.388933333,7.654590909,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,9.679633333,7.729933333,NA,NA,NA,-28.75230769
-31.39774194,-32.2162069,-33.10903226,-20.68433333,-7.151645161,5.6853,8.673354839,7.7006,-5.522461538,-13.62459375,-23.46,-25.03870968
-29.64580645,-33.28714286,-24.26129032,-19.52866667,-9.510512195,3.352366667,6.183354839,3.085451613,-6.233606061,-15.29548387,-27.0862069,-28.9216129
-26.36741935,-28.40392857,-27.39483871,-19.66333333,-4.840580645,3.244666667,7.359870968,4.524741935,-4.710133333,-14.64229032,-20.3545,-27.51193548
-24.44419355,-31.56178571,-28.90677419,-21.45266667,-8.650903226,4.3249,7.339032258,3.580516129,-5.148033333,-14.13022581,-23.56066667,-30.44903226
-26.06129032,-26.86413793,-28.23354839,-18.64433333,-7.006193548,4.534133333,8.19616129,5.267833333,-3.6703,-16.99870968,-18.78073333,-25.71741935
-28.99774194,-28.13892857,-29.48645161,-18.67433333,-5.818225806,2.869766667,6.638870968,2.892774194,-7.757166667,-15.44322581,-23.03733333,-20.66032258
-24.86612903,-24.26607143,-29.64709677,-21.20933333,-8.215967742,2.6643,5.176846154,NA,NA,NA,NA,NA
